Requirement / Feature,Scenario ID,Test Case ID,Description,Automated (Yes/No),Status (Pass/Fail)
Register,TS_01,TC_RF_001,Registering an account by providing only mandatory fields,Yes,Pass
Register,TS_02,TC_RF_002,Verify different ways of navigating to Register Account page,Yes,Pass
Register,TS_01,TC_RF_003,Register account using all fields,No,Not Executed
Register,TS_05,TC_RF_004,Register with invalid email format,No,Not Executed
Register,TS_05,TC_RF_005,Register with existing email,No,Not Executed
Register,TS_05,TC_RF_006,Verify password masking in register page,No,Not Executed
Register,TS_05,TC_RF_007,Verify confirm password mismatch validation,No,Not Executed
Register,TS_05,TC_RF_008,Verify error messages for empty mandatory fields,No,Not Executed
Register,TS_05,TC_RF_009,Verify register button enable/disable behavior,No,Not Executed
Register,TS_01,TC_RF_010,Verify successful registration confirmation message,No,Not Executed
Login,TS_06,TC_LOG_01,Login with valid credentials,Yes,Pass
Login,TS_07,TC_LOG_02,Verifying copying of the text entered into the password field,Yes,Pass
Login,TS_07,TC_LOG_03,Login with invalid password,No,Not Executed
Login,TS_07,TC_LOG_04,Login with invalid username,No,Not Executed
Login,TS_07,TC_LOG_05,Verify error message on invalid login,No,Not Executed
Login,TS_09,TC_LOG_06,Verify login with empty fields,No,Not Executed
Login,TS_06,TC_LOG_07,Verify login using Enter key,No,Not Executed
Login,TS_08,TC_LOG_08,Verify password masking on login page,No,Not Executed
Login,TS_06,TC_LOG_09,Verify login redirection after success,No,Not Executed
Login,TS_06,TC_LOG_10,Verify session creation after login,No,Not Executed
Logout,TS_10,TC_LO_01,Verify logging out and logging in immediately after logout,Yes,Pass
Logout,TS_12,TC_LO_02,"Verify Logout Button Visibility, Enablement, and UI Attributes After Login",Yes,Pass
Logout,TS_10,TC_LO_03,Verify logout after successful login,No,Not Executed
Logout,TS_10,TC_LO_04,Verify session termination after logout,No,Not Executed
Logout,TS_10,TC_LO_05,Verify back button behavior after logout,No,Not Executed
Logout,TS_12,TC_LO_06,Verify logout option visibility only after login,No,Not Executed
Logout,TS_12,TC_LO_07,Verify direct URL access after logout,No,Not Executed
Logout,TS_12,TC_LO_08,Verify logout confirmation message,No,Not Executed
Search,TS_13,TC_SEARCH_01,Verify list and grid view when multiple products are displayed in the search result,Yes,Pass
Search,TS_13,TC_SEARCH_02,Search with valid keyword,No,Not Executed
Search,TS_14,TC_SEARCH_03,Search with invalid keyword,No,Not Executed
Search,TS_14,TC_SEARCH_04,Verify no result message,No,Not Executed
Search,TS_15,TC_SEARCH_05,Search with partial keyword,No,Not Executed
Search,TS_15,TC_SEARCH_06,Verify search field empty submission,No,Not Executed
Search,TS_16,TC_SEARCH_07,Verify search results count accuracy,No,Not Executed
Product Compare,TS_17,TC_PC_01,Verify adding the product for the comparison from the product display page,Yes,Pass
Product Compare,TS_17,TC_PC_02,Compare two products successfully,No,Not Executed
Product Compare,TS_17,TC_PC_03,Verify compare button enabled after product selection,No,Not Executed
Product Compare,TS_18,TC_PC_04,Verify error when compare without products,No,Not Executed
Product Compare,TS_19,TC_PC_05,Verify comparison page UI,No,Not Executed
Product Compare,TS_19,TC_PC_06,Remove product from comparison list,No,Not Executed
Product Compare,TS_19,TC_PC_07,Verify comparison persistence after refresh,No,Not Executed
Product Compare,TS_19,TC_PC_08,Verify navigation back from comparison page,No,Not Executed
Product Compare,TS_20,TC_PC_09,Compare products with different attributes,No,Not Executed
Product Compare,TS_20,TC_PC_10,Verify clear comparison list functionality,No,Not Executed
